DAY;Hora Inicio;Hora Fin;ID;Rutina;Timeout;Habitación;Aviso;Juego;Completada;Hora Inicio Tarea;Hora Fin Tarea;Satisfaccion
miércoles;08:00:00;09:30:00;74;Prepara y coge el bolso;10;kitchen;Es hora de hacer 74;tarea_test.csv;No;;;
miércoles;08:00:00;09:30:00;75;Coge la agenda para el centro;10;living_room;Es hora de hacer 75;tarea_test.csv;No;;;
miércoles;08:00:00;09:30:00;76;Coge la bolsa para recoger la cena;10;kitchen;Es hora de hacer 76;tarea_test.csv;No;;;
miércoles;08:00:00;09:30:00;77;Va al centro;10;house;Es hora de hacer 77;tarea_test.csv;No;;;
miércoles;14:30:00;15:00:00;78;Se lava los dientes;10;bathroom_1;Es hora de hacer 78;tarea_dientes.csv;No;;;
miércoles;14:30:00;15:00:00;79;Prepara la agenda del centro para el dia siguiente y deja el móvil;10;living_room;Es hora de hacer 79;tarea_test.csv;No;;;
miércoles;14:30:00;17:00:00;80;Descansa;10;house;Es hora de hacer 80;tarea_test.csv;No;;;
miércoles;17:00:00;19:30:00;81;Prepara la merienda;10;kitchen;Es hora de hacer 81;hacer_colacao.csv;No;;;
miércoles;17:00:00;19:30:00;82;Merienda;10;kitchen;Es hora de hacer 82;tarea_test.csv;No;;;
miércoles;17:00:00;19:30:00;83;Hacer la lista de la compra;10;kitchen;Es hora de hacer 83;tarea_test.csv;No;;;
miércoles;17:00:00;19:30:00;84;Sale a hacer la compra;10;house;Es hora de hacer 84;tarea_test.csv;No;;;
miércoles;17:00:00;19:30:00;85;Ve la tele (salón o habitación);10;house;Es hora de hacer 85;tarea_test.csv;No;;;
miércoles;19:30:00;21:30:00;86;Recoge y guarda la compra;10;kitchen;Es hora de hacer 86;tarea_test.csv;No;;;
miércoles;19:30:00;21:30:00;87;Pone la lavadora con su ropa sucia;10;laundry;Es hora de hacer 87;poner_lavadora.csv;No;;;
miércoles;19:30:00;21:30:00;88;Tiende la ropa (terraza o salón);10;house;Es hora de hacer 88;tarea_test.csv;No;;;
miércoles;19:30:00;21:30:00;89;Ve un rato la tele;10;living_room;Es hora de hacer 89;tarea_test.csv;No;;;
miércoles;19:30:00;21:30:00;90;Se sirve la cena, la calienta en el microondas y cena;10;kitchen;Es hora de hacer 90;tarea_cenar.csv;No;;;
miércoles;19:30:00;21:30:00;91;Se toma la medicación;10;kitchen;Es hora de hacer 91;tarea_medicacion.csv;No;;;
miércoles;19:30:00;21:30:00;92;Se lava los dientes;10;bathroom_1;Es hora de hacer 92;tarea_dientes.csv;No;;;
miércoles;21:30:00;23:00:00;93;Prepara la ropa para el dia siguiente;10;room_1;Es hora de hacer 93;tarea_test.csv;No;;;
miércoles;21:30:00;23:00:00;94;Prepara la mochila de taekwondo o piscina;10;room_1;Es hora de hacer 94;tarea_test.csv;No;;;
miércoles;21:30:00;23:00:00;95;Se pone el pijama;10;room_1;Es hora de hacer 95;tarea_pijama.csv;No;;;
miércoles;21:30:00;23:00:00;96;Ve la tele (salón o habitación);10;house;Es hora de hacer 96;tarea_test.csv;No;;;
miércoles;21:30:00;23:00:00;97;Se acuesta;10;room_1;Es hora de hacer 97;tarea_test.csv;No;;;
;;;;;;;;;;;;
jueves;08:00:00;09:30:00;99;Se levanta;10;room;Es hora de hacer 99;tarea_test.csv;No;;;
jueves;08:00:00;09:30:00;100;Se ducha;10;bathroom_1;Es hora de hacer 100;tarea_ducha.csv;No;;;
jueves;08:00:00;09:30:00;101;Se viste;10;bathroom_1;Es hora de hacer 101;tarea_vestir.csv;No;;;
jueves;08:00:00;09:30:00;102;Hace la cama;10;room_1;Es hora de hacer 102;hacer_cama.csv;No;;;
jueves;08:00:00;09:30:00;103;Prepara el desayuno;10;kitchen;Es hora de hacer 103;hacer_colacao.csv;No;;;
jueves;08:00:00;09:30:00;104;Desayuna;10;kitchen;Es hora de hacer 104;tarea_desayuno.csv;No;;;
jueves;08:00:00;09:30:00;105;Se toma la medicación;10;kitchen;Es hora de hacer 105;tarea_medicacion.csv;No;;;
jueves;08:00:00;09:30:00;106;Se lava los dientes;10;bathroom;Es hora de hacer 106;tarea_dientes.csv;No;;;
jueves;08:00:00;09:30:00;107;Prepara y coge el bolso;10;kitchen;Es hora de hacer 107;tarea_test.csv;No;;;
jueves;08:00:00;09:30:00;108;Coge la agenda para el centro;10;living_room;Es hora de hacer 108;tarea_test.csv;No;;;
jueves;08:00:00;14:30:00;109;Coge la bolsa para recoger la cena;10;kitchen;Es hora de hacer 109;tarea_test.csv;No;;;
jueves;08:00:00;14:30:00;110;Va al centro;10;house;Es hora de hacer 110;tarea_test.csv;No;;;
jueves;14:30:00;15:00:00;111;Se lava los dientes;10;bathroom_1;Es hora de hacer 111;tarea_dientes.csv;No;;;
jueves;14:30:00;15:00:00;112;Prepara la agenda del centro para el dia siguiente y deja el móvil;10;living_room;Es hora de hacer 112;tarea_test.csv;No;;;
jueves;14:30:00;17:00:00;113;Descansa;10;house;Es hora de hacer 113;tarea_test.csv;No;;;
jueves;17:00:00;19:30:00;114;Prepara la merienda;10;kitchen;Es hora de hacer 114;hacer_colacao.csv;No;;;
jueves;17:00:00;19:30:00;115;Merienda;10;kitchen;Es hora de hacer 115;tarea_test.csv;No;;;
jueves;17:00:00;19:30:00;116;Hacer la lista de la compra;10;kitchen;Es hora de hacer 116;tarea_test.csv;No;;;
jueves;17:00:00;19:30:00;117;Sale a hacer la compra;10;house;Es hora de hacer 117;tarea_test.csv;No;;;
jueves;17:00:00;19:30:00;118;Ve la tele (salón o habitación);10;house;Es hora de hacer 118;tarea_test.csv;No;;;
jueves;19:30:00;21:30:00;119;Recoge y guarda la compra;10;kitchen;Es hora de hacer 119;tarea_test.csv;No;;;
jueves;19:30:00;21:30:00;120;Pone la lavadora con su ropa sucia;10;laundry;Es hora de hacer 120;poner_lavadora.csv;No;;;
jueves;19:30:00;21:30:00;121;Tiende la ropa (terraza o salón);10;house;Es hora de hacer 121;tarea_test.csv;No;;;
jueves;19:30:00;21:30:00;122;Ve un rato la tele;10;living_room;Es hora de hacer 122;tarea_test.csv;No;;;
jueves;19:30:00;21:30:00;123;Se sirve la cena, la calienta en el microondas y cena;10;kitchen;Es hora de hacer 123;tarea_cenar.csv;No;;;
jueves;19:30:00;21:30:00;124;Se toma la medicación;10;kitchen;Es hora de hacer 124;tarea_medicacion.csv;No;;;
jueves;19:30:00;21:30:00;125;Se lava los dientes;10;bathroom_1;Es hora de hacer 125;tarea_dientes.csv;No;;;
jueves;21:30:00;23:00:00;126;Prepara la ropa para el dia siguiente;10;room_1;Es hora de hacer 126;tarea_test.csv;No;;;
jueves;21:30:00;23:00:00;127;Prepara la mochila de taekwondo o piscina;10;room_1;Es hora de hacer 127;tarea_test.csv;No;;;
jueves;21:30:00;23:00:00;128;Se pone el pijama;10;room_1;Es hora de hacer 128;tarea_pijama.csv;No;;;
jueves;21:30:00;23:00:00;129;Ve la tele (salón o habitación);10;house;Es hora de hacer 129;tarea_test.csv;No;;;
jueves;21:30:00;23:00:00;130;Se acuesta;10;room_1;Es hora de hacer 130;tarea_test.csv;No;;;
;;;;;;;;;;;;
viernes;08:00:00;09:30:00;132;Se levanta;10;house;Es hora de hacer 132;tarea_test.csv;No;;;
viernes;08:00:00;09:30:00;133;Se ducha;10;house;Es hora de hacer 133;tarea_ducha.csv;No;;;
viernes;08:00:00;09:30:00;134;Se viste;10;house;Es hora de hacer 134;tarea_vestir.csv;No;;;
viernes;08:00:00;09:30:00;135;Hace la cama;10;house;Es hora de hacer 135;hacer_cama.csv;No;;;
viernes;08:00:00;09:30:00;136;Prepara el desayuno;10;house;Es hora de hacer 136;hacer_colacao.csv;No;;;
viernes;08:00:00;09:30:00;137;Desayuna;10;house;Es hora de hacer 137;tarea_desayuno.csv;No;;;
viernes;08:00:00;09:30:00;138;Se toma la medicación;10;house;Es hora de hacer 138;tarea_medicacion.csv;No;;;
viernes;08:00:00;09:30:00;139;Se lava los dientes;10;house;Es hora de hacer 139;tarea_dientes.csv;No;;;
viernes;08:00:00;09:30:00;140;Prepara y coge el bolso;10;house;Es hora de hacer 140;tarea_test.csv;No;;;
viernes;08:00:00;09:30:00;141;Coge la agenda para el centro;10;house;Es hora de hacer 141;tarea_test.csv;No;;;
viernes;08:00:00;09:30:00;142;Coge la bolsa para recoger la cena;10;house;Es hora de hacer 142;tarea_test.csv;No;;;
viernes;08:00:00;09:30:00;143;Va al centro;10;house;Es hora de hacer 143;tarea_test.csv;No;;;
viernes;14:30:00;15:00:00;144;Se lava los dientes;10;house;Es hora de hacer 144;tarea_dientes.csv;No;;;
viernes;14:30:00;15:00:00;145;Prepara la agenda del centro para el dia siguiente y deja el móvil;10;house;Es hora de hacer 145;tarea_test.csv;No;;;
viernes;14:30:00;17:00:00;146;Descansa;10;house;Es hora de hacer 146;tarea_test.csv;No;;;
viernes;17:00:00;19:30:00;147;Prepara la merienda;10;house;Es hora de hacer 147;hacer_colacao.csv;No;;;
viernes;17:00:00;19:30:00;148;Merienda;10;house;Es hora de hacer 148;tarea_test.csv;No;;;
viernes;17:00:00;19:30:00;149;Hacer la lista de la compra;10;house;Es hora de hacer 149;tarea_test.csv;No;;;
viernes;17:00:00;19:30:00;150;Sale a hacer la compra;10;house;Es hora de hacer 150;tarea_test.csv;No;;;
viernes;17:00:00;19:30:00;151;Ve la tele (salón o habitación);10;house;Es hora de hacer 151;tarea_test.csv;No;;;
viernes;19:30:00;21:30:00;152;Recoge y guarda la compra;10;house;Es hora de hacer 152;tarea_test.csv;No;;;
viernes;19:30:00;21:30:00;153;Pone la lavadora con su ropa sucia;10;house;Es hora de hacer 153;poner_lavadora.csv;No;;;
viernes;19:30:00;21:30:00;154;Tiende la ropa (terraza o salón);10;house;Es hora de hacer 154;tarea_test.csv;No;;;
viernes;19:30:00;21:30:00;155;Ve un rato la tele;10;house;Es hora de hacer 155;tarea_test.csv;No;;;
viernes;19:30:00;21:30:00;156;Se sirve la cena, la calienta en el microondas y cena;10;house;Es hora de hacer 156;tarea_cenar.csv;No;;;
viernes;19:30:00;21:30:00;157;Se toma la medicación;10;house;Es hora de hacer 157;tarea_medicacion.csv;No;;;
viernes;19:30:00;21:30:00;158;Se lava los dientes;10;house;Es hora de hacer 158;tarea_dientes.csv;No;;;
viernes;21:30:00;23:00:00;159;Prepara la ropa para el dia siguiente;10;house;Es hora de hacer 159;tarea_test.csv;No;;;
viernes;21:30:00;23:00:00;160;Prepara la mochila de taekwondo o piscina;10;house;Es hora de hacer 160;tarea_test.csv;No;;;
viernes;21:30:00;23:00:00;161;Se pone el pijama;10;house;Es hora de hacer 161;tarea_pijama.csv;No;;;
viernes;21:30:00;23:00:00;162;Ve la tele (salón o habitación);10;house;Es hora de hacer 162;tarea_test.csv;No;;;
viernes;21:30:00;23:00:00;163;Se acuesta;10;house;Es hora de hacer 163;tarea_test.csv;No;;;
;;;;;;;;;;;;
sábado;08:00:00;09:30:00;165;Se levanta;10;house;Es hora de hacer 165;tarea_test.csv;No;;;
sábado;08:00:00;09:30:00;166;Se ducha;10;house;Es hora de hacer 166;tarea_ducha.csv;No;;;
sábado;08:00:00;09:30:00;167;Se viste;10;house;Es hora de hacer 167;tarea_vestir.csv;No;;;
sábado;08:00:00;09:30:00;168;Hace la cama;10;house;Es hora de hacer 168;hacer_cama.csv;No;;;
sábado;08:00:00;09:30:00;169;Prepara el desayuno;10;house;Es hora de hacer 169;hacer_colacao.csv;No;;;
sábado;08:00:00;09:30:00;170;Desayuna;10;house;Es hora de hacer 170;tarea_desayuno.csv;No;;;
sábado;08:00:00;09:30:00;171;Se toma la medicación;10;house;Es hora de hacer 171;tarea_medicacion.csv;No;;;
sábado;08:00:00;09:30:00;172;Se lava los dientes;10;house;Es hora de hacer 172;tarea_dientes.csv;No;;;
sábado;08:00:00;09:30:00;173;Prepara y coge el bolso;10;house;Es hora de hacer 173;tarea_test.csv;No;;;
sábado;08:00:00;09:30:00;174;Coge la agenda para el centro;10;house;Es hora de hacer 174;tarea_test.csv;No;;;
sábado;08:00:00;09:30:00;175;Coge la bolsa para recoger la cena;10;house;Es hora de hacer 175;tarea_test.csv;No;;;
sábado;08:00:00;09:30:00;176;Va al centro;10;house;Es hora de hacer 176;tarea_test.csv;No;;;
sábado;14:30:00;15:00:00;177;Se lava los dientes;10;house;Es hora de hacer 177;tarea_dientes.csv;No;;;
sábado;14:30:00;15:00:00;178;Prepara la agenda del centro para el dia siguiente y deja el móvil;10;house;Es hora de hacer 178;tarea_test.csv;No;;;
sábado;14:30:00;17:00:00;179;Descansa;10;house;Es hora de hacer 179;tarea_test.csv;No;;;
sábado;17:00:00;19:30:00;180;Prepara la merienda;10;house;Es hora de hacer 180;hacer_colacao.csv;No;;;
sábado;17:00:00;19:30:00;181;Merienda;10;house;Es hora de hacer 181;tarea_test.csv;No;;;
sábado;17:00:00;19:30:00;182;Hacer la lista de la compra;10;house;Es hora de hacer 182;tarea_test.csv;No;;;
sábado;17:00:00;19:30:00;183;Sale a hacer la compra;10;house;Es hora de hacer 183;tarea_test.csv;No;;;
sábado;17:00:00;19:30:00;184;Ve la tele (salón o habitación);10;house;Es hora de hacer 184;tarea_test.csv;No;;;
sábado;19:30:00;21:30:00;185;Recoge y guarda la compra;10;house;Es hora de hacer 185;tarea_test.csv;No;;;
sábado;19:30:00;21:30:00;186;Pone la lavadora con su ropa sucia;10;house;Es hora de hacer 186;poner_lavadora.csv;No;;;
sábado;19:30:00;21:30:00;187;Tiende la ropa (terraza o salón);10;house;Es hora de hacer 187;tarea_test.csv;No;;;
sábado;19:30:00;21:30:00;188;Ve un rato la tele;10;house;Es hora de hacer 188;tarea_test.csv;No;;;
sábado;19:30:00;21:30:00;189;Se sirve la cena, la calienta en el microondas y cena;10;house;Es hora de hacer 189;tarea_cenar.csv;No;;;
sábado;19:30:00;21:30:00;190;Se toma la medicación;10;house;Es hora de hacer 190;tarea_medicacion.csv;No;;;
sábado;19:30:00;21:30:00;191;Se lava los dientes;10;house;Es hora de hacer 191;tarea_dientes.csv;No;;;
sábado;21:30:00;23:00:00;192;Prepara la ropa para el dia siguiente;10;house;Es hora de hacer 192;tarea_test.csv;No;;;
sábado;21:30:00;23:00:00;193;Prepara la mochila de taekwondo o piscina;10;house;Es hora de hacer 193;tarea_test.csv;No;;;
sábado;21:30:00;23:00:00;194;Se pone el pijama;10;house;Es hora de hacer 194;tarea_pijama.csv;No;;;
sábado;21:30:00;23:00:00;195;Ve la tele (salón o habitación);10;house;Es hora de hacer 195;tarea_test.csv;No;;;
sábado;21:30:00;23:00:00;196;Se acuesta;10;house;Es hora de hacer 196;tarea_test.csv;No;;;
;;;;;;;;;;;;
domingo;08:00:00;09:30:00;198;Se levanta;10;house;Es hora de hacer 198;tarea_test.csv;No;;;
domingo;08:00:00;09:30:00;199;Se ducha;10;house;Es hora de hacer 199;tarea_ducha.csv;No;;;
domingo;08:00:00;09:30:00;200;Se viste;10;house;Es hora de hacer 200;tarea_vestir.csv;No;;;
domingo;08:00:00;09:30:00;201;Hace la cama;10;house;Es hora de hacer 201;hacer_cama.csv;No;;;
domingo;08:00:00;09:30:00;202;Prepara el desayuno;10;house;Es hora de hacer 202;hacer_colacao.csv;No;;;
domingo;08:00:00;09:30:00;203;Desayuna;10;house;Es hora de hacer 203;tarea_desayuno.csv;No;;;
domingo;08:00:00;09:30:00;204;Se toma la medicación;10;house;Es hora de hacer 204;tarea_medicacion.csv;No;;;
domingo;08:00:00;09:30:00;205;Se lava los dientes;10;house;Es hora de hacer 205;tarea_dientes.csv;No;;;
domingo;08:00:00;09:30:00;206;Prepara y coge el bolso;10;house;Es hora de hacer 206;tarea_test.csv;No;;;
domingo;08:00:00;09:30:00;207;Coge la agenda para el centro;10;house;Es hora de hacer 207;tarea_test.csv;No;;;
domingo;08:00:00;09:30:00;208;Coge la bolsa para recoger la cena;10;house;Es hora de hacer 208;tarea_test.csv;No;;;
domingo;08:00:00;09:30:00;209;Va al centro;10;house;Es hora de hacer 209;tarea_test.csv;No;;;
domingo;14:30:00;15:00:00;210;Se lava los dientes;10;house;Es hora de hacer 210;tarea_dientes.csv;No;;;
domingo;14:30:00;15:00:00;211;Prepara la agenda del centro para el dia siguiente y deja el móvil;10;house;Es hora de hacer 211;tarea_test.csv;No;;;
domingo;14:30:00;17:00:00;212;Descansa;10;house;Es hora de hacer 212;tarea_test.csv;No;;;
domingo;17:00:00;19:30:00;213;Prepara la merienda;10;house;Es hora de hacer 213;hacer_colacao.csv;No;;;
domingo;17:00:00;19:30:00;214;Merienda;10;house;Es hora de hacer 214;tarea_test.csv;No;;;
domingo;17:00:00;19:30:00;215;Hacer la lista de la compra;10;house;Es hora de hacer 215;tarea_test.csv;No;;;
domingo;17:00:00;19:30:00;216;Sale a hacer la compra;10;house;Es hora de hacer 216;tarea_test.csv;No;;;
domingo;17:00:00;19:30:00;217;Ve la tele (salón o habitación);10;house;Es hora de hacer 217;tarea_test.csv;No;;;
domingo;19:30:00;21:30:00;218;Recoge y guarda la compra;10;house;Es hora de hacer 218;tarea_test.csv;No;;;
domingo;19:30:00;21:30:00;219;Pone la lavadora con su ropa sucia;10;house;Es hora de hacer 219;poner_lavadora.csv;No;;;
domingo;19:30:00;21:30:00;220;Tiende la ropa (terraza o salón);10;house;Es hora de hacer 220;tarea_test.csv;No;;;
domingo;19:30:00;21:30:00;221;Ve un rato la tele;10;house;Es hora de hacer 221;tarea_test.csv;No;;;
domingo;19:30:00;21:30:00;222;Se sirve la cena, la calienta en el microondas y cena;10;house;Es hora de hacer 222;tarea_cenar.csv;No;;;
domingo;19:30:00;21:30:00;223;Se toma la medicación;10;house;Es hora de hacer 223;tarea_medicacion.csv;No;;;
domingo;19:30:00;21:30:00;224;Se lava los dientes;10;house;Es hora de hacer 224;tarea_dientes.csv;No;;;
domingo;21:30:00;23:00:00;225;Prepara la ropa para el dia siguiente;10;house;Es hora de hacer 225;tarea_test.csv;No;;;
domingo;21:30:00;23:00:00;226;Prepara la mochila de taekwondo o piscina;10;house;Es hora de hacer 226;tarea_test.csv;No;;;
domingo;21:30:00;23:00:00;227;Se pone el pijama;10;house;Es hora de hacer 227;tarea_pijama.csv;No;;;
domingo;21:30:00;23:00:00;228;Ve la tele (salón o habitación);10;house;Es hora de hacer 228;tarea_test.csv;No;;;
domingo;21:30:00;23:00:00;229;Se acuesta;10;house;Es hora de hacer 229;tarea_test.csv;No;;;
